City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
318,calvinia,-31.4707,19.776,292.89,52,100,3.08,ZA,1704766451
319,seaside,36.6111,-121.8516,284.34,74,0,0.45,US,1704766452
320,ghat,24.9647,10.1728,284.56,29,0,2.72,LY,1704766453
321,port blair,11.6667,92.75,302.17,70,37,4.63,IN,1704766454
322,argostolion,38.1811,20.489,284.1,81,88,2.58,GR,1704766455
323,kiunga,-6.1219,141.2906,306.75,56,99,0.79,PG,1704766456
324,udachny,66.4167,112.4,235.73,100,39,1.41,RU,1704766458
325,kawalu,-7.3817,108.2082,300.63,78,94,0.75,ID,1704766459
326,crane,31.3974,-102.3501,278.4,37,2,9.8,US,1704766465
327,badger,64.8,-147.5333,262.29,84,75,2.06,US,1704766469
328,kudymkar,59.0173,54.656,257.43,93,100,4.61,RU,1704766475
329,dongola,19.1667,30.4833,293.5,41,75,4.85,SD,1704766476
330,sao geraldo do araguaia,-6.4006,-48.555,296.94,92,87,0.78,BR,1704766308
331,fort bragg,35.139,-79.006,278.82,72,0,2.06,US,1704766478
332,new kingman-butler,35.265,-114.0323,278.66,33,0,2.57,US,1704766480
333,sao tome,0.3365,6.7273,300.16,81,15,2.29,ST,1704766481
334,shubarshi,48.5872,57.1869,263.43,66,100,4.76,KZ,1704766481
335,chibougamau,49.9168,-74.3659,256.94,78,100,4.12,CA,1704766482
336,la cruz,23.9167,-106.9,291.28,72,72,4.77,MX,1704766483
337,iwaki,37.05,140.8833,282.66,61,6,0.89,JP,1704766484
338,mimoso do sul,-21.0642,-41.3664,297.14,91,100,1.2,BR,1704766485
339,guiuan,11.0333,125.7247,300.56,84,56,6.21,PH,1704766486
340,vadso,70.0744,29.7487,268.24,86,100,4.63,NO,1704766487
341,el tocuyo,9.7873,-69.7937,294.3,71,97,2.16,VE,1704766488
342,marang,5.2056,103.2059,301.1,90,100,0.1,MY,1704766489
343,acajutla,13.5928,-89.8275,298.22,75,1,2.63,SV,1704766490
344,kalmunai,7.4167,81.8167,298.29,91,100,4.11,LK,1704766491
345,saint-philippe,-21.3585,55.7679,296.92,82,62,3.45,RE,1704766492
346,bandipura,34.4167,74.65,273.92,36,59,2.88,IN,1704766493
347,touros,-5.1989,-35.4608,300.15,77,6,3.83,BR,1704766371
348,mount gambier,-37.8333,140.7667,297.41,53,31,2.12,AU,1704766495
349,howrah,22.5892,88.3103,288.15,88,0,2.06,IN,1704766496
350,mbanza-ngungu,-5.25,14.8667,293.6,96,100,1.66,CD,1704766497
351,bereznik,62.8551,42.7072,259.76,94,71,3.11,RU,1704766498
352,baikonur,45.6167,63.3167,273.65,91,100,6.45,KZ,1704766499
353,gulf shores,30.246,-87.7008,291.67,72,100,14.23,US,1704766486
354,nagqu,31.5,92.0,259.37,37,0,1.81,CN,1704766501
355,bardai,11.65,7.2333,290.11,13,13,3.71,NG,1704766502
356,salmas,38.1973,44.7653,274.74,62,100,1.79,IR,1704766504
357,arkhangel'sk,64.5401,40.5433,258.21,85,40,1.0,RU,1704766505
358,valparaiso,-33.0393,-71.6273,289.95,59,0,3.09,CL,1704766506
359,nsanje,-16.92,35.262,297.14,99,100,1.45,MW,1704766507
360,san marcos de colon,13.4333,-86.8,290.81,72,0,2.68,HN,1704766508
361,alibag,18.6411,72.8792,298.19,66,24,1.42,IN,1704766509
362,tanabe,33.7333,135.3667,281.71,57,20,2.06,JP,1704766510
363,litchfield,41.7668,-73.2501,271.08,90,54,0.45,US,1704766511
364,alaghsas,17.0187,8.0168,292.17,17,5,4.24,NE,1704766513
365,cidreira,-30.1811,-50.2056,295.5,91,100,2.01,BR,1704766514
